trip_id,status,relative_path,map,weather_mode,time_of_day,scenario,frames,source_frames,removed_frames,duration_sec,fps,image_2_files,image_3_files,depth_files,calib_files,label_files,labels,event_count,safe_driving_score,harsh_brake_count,harsh_accel_count,harsh_corner_count,near_miss_count,speeding_pct_time,tailgating_pct_time,random_seed,speed_limit_kmh,json_bytes,json_gz_bytes,trip_bytes,json_sha256,json_gz_sha256,error_total
T24-Sample,valid,T24-Sample/T24-Sample,Town10HD,clear_day,twilight,none,556,600,44,27.8,20,556,556,112,556,556,1787,0,0.0,23,37,171,13,73.02,0.0,26620613,30.0,4611510,318702,210246492,579bcbf78eb6474d47f19fa3ebe9f95b01c7b298c92c71c51522834f5f19171b,048dee39abe0a6dc92d8f55aa29f07400506f4dee17e9254b66dd99170b18c16,0
T25-Sample,valid,T25-Sample/T25-Sample,Town10HD,rain,day,none,437,600,163,21.85,20,437,437,88,437,437,2723,0,0.0,58,68,61,12,13.5,0.0,238557643,30.0,5076194,300399,157230320,87c9782e288dba5de2a30d286aefcc33bdefc941bf5a1bae539bf3351dd506c0,3c305dcea69dbbdc1a260ca2897d51e88f98ac445ea66fddeb5eb4fbda4cd28a,0
T26-Sample,valid,T26-Sample/T26-Sample,Town10HD,overcast,day,none,475,600,125,23.75,20,475,475,95,475,475,2034,0,0.0,34,22,179,64,76.63,0.0,1427900506,30.0,4995871,359825,176076564,bb70672738a39e2225fda48f38a97d71a8a59394bc4af4d60f0273fa30d7aaa7,f9324ebe12b10b54a6427ee2df05a1586ea19f8a2662f82ae4abfd0d16258655,0
T27-Sample,valid,T27-Sample/T27-Sample,Town10HD,fog,day,none,593,600,7,29.65,20,593,593,119,593,593,2455,0,0.0,35,83,78,0,35.58,0.0,1087943909,30.0,5462336,342263,222740661,e2aa09cb17a465f9ba1599a0159c6dd6c1ece648582e21fe7b842b6c128c3331,02ee52f47756f9002c439d0a74887190a75f4b24c4e11b61f9736b6a6508afd3,0
T28-Sample,valid,T28-Sample/T28-Sample,Town10HD,dawn,twilight,none,560,600,40,28,20,560,560,112,560,560,1717,0,0.0,33,18,59,10,14.64,0.0,830717881,30.0,4871257,276563,212979077,72e4f5466170815f7ddace5fd8190d0fd62f6414e1c41c24329545b3092d56ca,f41909ac7d2a503598e45c964d1505cff69323b266e7c8df4e18bae141d763ed,0
T29-Sample,valid,T29-Sample/T29-Sample,Town10HD,dusk,twilight,none,477,600,123,23.85,20,477,477,96,477,477,1181,0,0.0,50,35,109,48,20.96,4.82,821365924,30.0,3468941,235260,177994208,1f555644943e679806b7af5ab9a525445f4cb89afdcd0f1abd1e4739c8efd9cd,d55beae850eacf8bce620290be4c016183300977d5acdac8c14f2b6b09d3433a,0
T30-Sample,valid,T30-Sample/T30-Sample,Town10HD,dust,day,none,560,600,40,28,20,560,560,112,560,560,2738,0,0.0,138,108,95,15,25.71,1.61,346671981,30.0,5357342,332144,213034683,9b385d60de77d68a067077abe92913a8adc370e4d375194b3bb05414dc515026,9a1cc3b6797279e742d3cbd5f0c16de508b927cefce41ecd20ff2e606e2fd187,0
T31-Sample,valid,T31-Sample/T31-Sample,Town10HD,night,night,none,492,600,108,24.6,20,492,492,99,492,492,1368,0,0.0,4,9,177,5,69.92,0.0,911010750,30.0,5845638,421892,186270881,46792c17f06c5648fa685a11c15c61a438adc3f94791240ba1e5f19f12c119f1,9307bc69adc3034ef34b067304c7a570bb4cbbcddcf954e1d6a9464b405c688f,0
T32-Sample,valid,T32-Sample/T32-Sample,Town10HD,dust,day,none,457,600,143,22.85,20,457,457,92,457,457,3287,0,0.0,55,33,55,0,26.7,0.0,1981714554,30.0,5084052,288071,185422787,65964f0758b16c8aaf71a9f8908db93db562dbe52f1bb718ba882b9e321a5266,9401556b472c9739b94f2c9671e41aa5a67f43d377968ae17e307c5e655e1373,0
T33-Sample,valid,T33-Sample/T33-Sample,Town10HD,storm,day,none,320,600,280,16,20,320,320,64,320,320,1795,0,0.0,26,39,48,33,0.62,5.62,523417755,30.0,4701857,313959,114804793,54d64053a21ed0fb1ce88c167f1419b42f8f9914c1ffe9f30217186f008413b5,41c378f07bedfda85509110fd896ae978b1e8af4c4176dbb6c6e8ca0e7a34b91,0
T34-Sample,valid,T34-Sample/T34-Sample,Town10HD,night,night,none,370,600,230,18.5,20,370,370,74,370,370,1650,0,0.0,40,19,143,23,56.22,4.32,1497547890,30.0,3983893,283835,142473158,96a5beaf3a247a0795e26385f253ee4902e251b0154bfae4f9f785ba823fd764,7eefb05b2a029ebf7556ee33ee1c2e27642ad0875aa0200c0db60fec4abfce9e,0
T35-Sample,valid,T35-Sample/T35-Sample,Town10HD,clear_day,day,none,325,600,275,16.25,20,325,325,65,325,325,1683,0,0.0,21,17,77,0,32.92,0.0,1952211965,30.0,3242151,228500,127361450,497a3400e0f457dc3a20d7485ef1a8dc3385d32e70d7f924f6b9f3c9a2773d34,09529ea06236a979cfbcaa4cb76f9ba63c508820e6141c0ad546dc3a81074faf,0
T36-Sample,valid,T36-Sample/T36-Sample,Town10HD,overcast,day,none,473,600,127,23.65,20,473,473,95,473,473,2160,0,0.0,36,35,32,18,25.37,0.85,1974563569,30.0,4142643,257977,162846070,ca68e0b8a5ed7c91a5b374756ca8b27d5353b12bab2a820c04213c804143e557,79f1cabb5a8bc698952cd514da34f5542910be3aab145ce29afd52d94f1d4a14,0
T37-Sample,valid,T37-Sample/T37-Sample,Town10HD,fog,day,none,593,600,7,29.65,20,593,593,119,593,593,2134,0,0.0,80,55,143,46,54.13,4.55,1953149751,30.0,4623923,322271,225519093,0e280489f9a037cbf61eb60706974f1ede34215a0272c039a9d5b08f69a2e53b,2440e9249ce35e98d05313980c1ee968a28aa905f40d57c922f8ab99d15e64c4,0
T38-Sample,valid,T38-Sample/T38-Sample,Town10HD,dusk,twilight,none,326,600,274,16.3,20,326,326,66,326,326,1643,0,0.0,43,73,96,29,73.01,2.45,1220526787,30.0,3779575,273782,124317672,aeae710e2ce5acbaf1d3d2f4ecc386e888e471cedc8ebb0b31919b3c44c0a800,cdb5acdb9f6e4f7eb5f7b22e11cd2c05544b40d99cd4441531462a0984a27ee1,0
T39-Sample,valid,T39-Sample/T39-Sample,Town10HD,dawn,twilight,none,346,600,254,17.3,20,346,346,70,346,346,1115,0,0.0,21,65,72,20,18.79,0.0,2097283479,30.0,3255675,211757,123634315,18ee6098e89517ebfb3b689fc538609451263a34b79233e145340aace45a6587,c5ed965100813508a3827412d4f84af0d4151fcceb4579566146b9156dc0a634,0
T40-Sample,valid,T40-Sample/T40-Sample,Town10HD,rain,day,none,534,600,66,26.7,20,534,534,107,534,534,1706,0,0.0,26,47,154,13,72.1,0.0,592982805,30.0,5387729,370819,197231224,556f28d35bf9d1b81e927123b56b010c723b1111e1c41bbb10cb7299b2f9e217,ec1edf1157a0138c6c8f30aa258002acebf60e53445c55a624a233de44f232a8,0
T41-Sample,valid,T41-Sample/T41-Sample,Town10HD,clear_day,day,none,315,600,285,15.75,20,315,315,63,315,315,1975,0,0.0,46,30,57,29,43.81,1.59,1159335497,30.0,2780595,195809,113744040,31d951fe5b196508d8c18f7f152344d7d5092edc3e9c41ba9472c735775816d2,6b1bc1e165e824ae7c1521650a3f166d42e21c389866d5337d5e0706e388aab9,0
T42-Sample,valid,T42-Sample/T42-Sample,Town10HD,rain,day,none,585,600,15,29.25,20,585,585,117,585,585,1925,0,0.0,40,90,149,19,62.91,2.05,912673847,30.0,5035993,325829,212265842,095ee38857ab83e954ad0066a9d94b0d95361ec34fd17a2b05d3b442b8c66a73,ab50a29b4f6b7bf425507c28832dc42ed85c057fa0ec097018984c326d9c5618,0
T43-Sample,valid,T43-Sample/T43-Sample,Town10HD,storm,day,none,311,600,289,15.55,20,311,311,63,311,311,1591,0,0.0,44,77,66,60,5.47,2.89,266300046,30.0,2639321,166427,113768017,0104241d2625bdb71affa8c153fcf1b097f21b7a6df53fee621208d119f23b86,d7bf5f3da08c9f475e88666b7ce44e16908b85d1e01db0a1572f82bce17a3c8f,0
T44-Sample,valid,T44-Sample/T44-Sample,Town10HD,night,night,none,423,600,177,21.15,20,423,423,85,423,423,966,0,0.0,3,7,212,0,84.63,0.0,1897572014,30.0,3189565,230087,160013670,6035b56aafe264b1a38c089f28d1e99658925c235a8b61937be30f722ad20ef7,c93710b4c9d671ffb9b6e4d78d7e7993e83ab0b45dac7837427d17db1412802b,0
T45-Sample,valid,T45-Sample/T45-Sample,Town10HD,overcast,day,none,514,600,86,25.7,20,514,514,103,514,514,3385,0,0.0,21,19,82,18,30.74,0.58,1166342715,30.0,7459859,370345,182890213,ac2b3c09bb90d9ac5deb80c113fb312e576672fe52ebaae57f9f677670c18027,a7da267df312b068f4420249a54ce92dfdfc12b506602a2e1f5368828373636e,0
T46-Sample,valid,T46-Sample/T46-Sample,Town10HD,dust,day,none,596,600,4,29.8,20,596,596,120,596,596,1460,0,0.0,81,64,66,0,23.83,0.0,135057892,30.0,5203883,270174,228226525,8380c459731c864c404bbba871087dc5e052a3c69245c6392c76bffe51972455,56b58196a5141c6b3448d28d3c8ffebd388d4454ca09df8516886872c7669774,0
T47-Sample,valid,T47-Sample/T47-Sample,Town10HD,fog,day,lead_brake_release,401,600,199,20.05,20,401,401,81,401,401,1712,1,0.0,62,50,94,63,66.08,16.21,1554360223,30.0,5049100,355150,152707447,188784dbf2aedac554f591a5767548dbe9a5473cc3c5387f8a13f98fc3e5051d,7d568c21177bd873dec8b720a199cf82ec3615f4c8240001b4a6dcff3433ecc4,0
T48-Sample,valid,T48-Sample/T48-Sample,Town10HD,dusk,twilight,none,349,600,251,17.45,20,349,349,70,349,349,942,0,0.0,5,15,52,23,55.01,24.07,1491606841,30.0,3584750,242519,132444657,1ebc2413a09400b60f7942a35e29e9e17f2ff513edb79da12ae0b7f406af35e2,6a5f903da7d2dba120f26b8dd408a607a426431060fec5bdca0df495475d953b,0
T49-Sample,valid,T49-Sample/T49-Sample,Town10HD,dawn,twilight,none,309,600,291,15.45,20,309,309,62,309,309,2040,0,0.0,26,38,104,72,55.02,2.91,987151215,30.0,4692286,333947,121356004,261119c3f6b9889c9ac4202b55989c701417ebc05aab6098ae24d0e0170cea59,fed83afca7b1d84d4d593fba8e8f0fcbe6ea94211616dcd11103dbef97776d92,0
T50-Sample,valid,T50-Sample/T50-Sample,Town10HD,clear_day,day,none,552,600,48,27.6,20,552,552,111,552,552,1583,0,0.0,23,46,149,0,32.61,0.0,1986979274,30.0,4111362,248247,206241777,8d002e142308854940816c8cff3ca62f003363764bfc939710075675540fe2d2,c3f63470619c56845fed9f2b5e1395fa0ec597a7bea7107dcea8b11f989f8087,0
T51-Sample,valid,T51-Sample/T51-Sample,Town10HD,dawn,twilight,none,309,600,291,15.45,20,309,309,62,309,309,992,0,0.0,15,32,150,38,68.61,0.65,943531226,30.0,2643572,188876,115337069,aeb382cc0991a335b3f6faba41fef6e6146a9f9dec6efeaa124ee70f29741d15,9de5c65e4d423e105cec233585a9e32c3643daef0711789bb5c7e17861ccc956,0
T52-Sample,valid,T52-Sample/T52-Sample,Town10HD,overcast,twilight,none,336,600,264,16.8,20,336,336,68,336,336,1906,0,0.0,19,39,34,0,17.86,0.0,908345638,30.0,3789454,254791,118563288,14be76f3877f6a7d3b02648c60d3214af56c1c122bcb1c3af22fb8f64b52aab6,78d627daba7f50deaf662ec27b387870e6af16ee416f3098258c5f0610ad8001,0
T53-Sample,valid,T53-Sample/T53-Sample,Town10HD,dust,day,none,488,600,112,24.4,20,488,488,98,488,488,2443,0,0.0,112,48,161,22,64.96,1.84,1473551100,30.0,5306539,379792,191140277,f668b5d9a666bf5bb15eda91ed4a8c3a7d7586f15af7c9a3f77876ce7271b89c,7d15f789a12bdc144ae72b6da605e9d4803f36aa8d43f3b6ac7ef3653854876d,0
T54-Sample,valid,T54-Sample/T54-Sample,Town10HD,dusk,twilight,none,556,600,44,27.8,20,556,556,112,556,556,2186,0,0.0,73,38,175,11,59.71,0.0,1107230090,30.0,7052829,491357,208382725,2d0a68d7a008f408b4456e152b39cc863ad7a00fba45c6c5ae4f10002b0dbecf,0ab88d3432c521964108041eeb81d0ef5bdb6393802a6c4b5a92c886175f3f58,0
T55-Sample,valid,T55-Sample/T55-Sample,Town10HD,rain,day,none,553,600,47,27.65,20,553,553,111,553,553,2214,0,0.0,50,70,90,0,35.99,0.72,976823309,30.0,5770575,364205,207439314,ad6e288245594023a0ca14dab4b26b951de6546769e83f072a9816ff79de229f,41e208a6b1e382aab594667d69b07ab711144a9c3c7fcb1ef7f16dce2b2f6ca9,0
T56-Sample,valid,T56-Sample/T56-Sample,Town10HD,fog,day,none,553,600,47,27.65,20,553,553,111,553,553,1668,0,0.0,51,89,56,0,35.8,0.0,1898863666,30.0,4411296,303632,208878874,b3c783be5f7d132dabf2df03a9c59a560f043addef255a9a92a1264ed175b5ab,1b9072b61927d0c5ac7a119cd891be4539c1ce9ea0108116ad22b7c519286d19,0
T57-Sample,valid,T57-Sample/T57-Sample,Town10HD,night,night,none,529,600,71,26.45,20,529,529,106,529,529,2294,0,0.0,73,52,90,13,44.61,0.0,1230627897,30.0,5253194,313740,198741729,a6846f8cbd8d13ad4f4d6eaf3f05fecdacdd7416a901c0c6aea5f200e59c8426,08c0b37a89193d80d656b8891d8fca59f94d938070876bca306ab3fcf83a93c3,0
T58-Sample,valid,T58-Sample/T58-Sample,Town10HD,storm,day,none,366,600,234,18.3,20,366,366,74,366,366,2305,0,0.0,79,84,57,26,37.43,4.1,3893079,30.0,3292843,244476,130424137,e8efcc1fd94d2270bcbf42bab379082c50ce13c8da5d915e072147b513871ad6,2e37c160a8ad939b76b792614db92dee6b502c4952c42f72603427ce2d391646,0
T59-Sample,valid,T59-Sample/T59-Sample,Town10HD,overcast,day,none,441,600,159,22.05,20,441,441,89,441,441,2298,0,0.0,32,55,134,22,63.27,4.08,1065128309,30.0,5565541,392034,166496853,ad1977b5397803133fb8e452640b51b3beee0170439b0e36eb29e1c3575084b6,9ee3dad4b3055f312919f5c28aed1a5a04f0fcfb6186acfa7ec7ea3239d982e7,0
T60-Sample,valid,T60-Sample/T60-Sample,Town10HD,rain,day,none,318,600,282,15.9,20,318,318,64,318,318,2192,0,0.0,58,52,140,46,48.74,0.0,588847729,30.0,4505764,283577,117531730,ecfef35378f09a05eda62aff292574d5707f7976df6110d34207c4e7e4cfd520,5fb14aa78f10a99b8b3b6b455b82873449834259f05b815bbeffb94da86bebe9,0
T61-Sample,valid,T61-Sample/T61-Sample,Town10HD,clear_day,day,none,549,600,51,27.45,20,549,549,110,549,549,2240,0,0.0,19,25,179,5,57.01,0.0,1139673237,30.0,7367136,507422,206247250,7f0301fae01fbd1039ff35b32bfb2ea5402a5a44158e81b92897244d94bcb962,b0aae6fea864ea5f44ec8b42680587e0a1ec5f84ab4793bd586a41490f3ee33e,0
T62-Sample,valid,T62-Sample/T62-Sample,Town10HD,dust,day,none,430,600,170,21.5,20,430,430,86,430,430,1503,0,0.0,51,108,155,57,69.3,6.98,1022898922,30.0,4382192,323354,159304091,ca62e80913d217d2ddb0b2efc95b599cf8e634214381d388b963d0f1b756e3c5,03057018b83623daba18ed34d58c1cee5beeaf4a7f9436ce92c8bf73e1ab5e19,0
T63-Sample,valid,T63-Sample/T63-Sample,Town10HD,fog,day,none,351,600,249,17.55,20,351,351,71,351,351,1061,0,0.0,54,91,0,14,32.48,0.0,959945630,30.0,2183591,144839,134112937,d5272a527a99b10ea790bfd5529c4e888d4999919e449cfacdcb72d8d13d3f10,7a82de499f60cb8a35404c88ca22ca3a947f9b3357ba8c9bad03389416d21f2f,0
